alternate,bar,weekend,hungry,price,raining,reservation,type,wait_estimate,will_wait,average_spending
Yes,Yes,Yes,No,$,No,Yes,Burger,0-10,No,0
Yes,Yes,No,Yes,$,No,No,Italian,30-60,No,0
No,No,No,No,$,No,No,Burger,30-60,No,0
Yes,Yes,Yes,No,$$,Yes,Yes,Italian,10-30,Yes,259
No,No,No,Yes,$,No,No,Thai,10-30,No,0
Yes,Yes,Yes,No,$,No,Yes,Burger,10-30,Yes,97
No,No,No,Yes,$,No,No,Italian,10-30,Yes,20
No,Yes,Yes,Yes,$,No,No,Italian,>60,No,0
Yes,Yes,Yes,No,$$,Yes,Yes,Italian,>60,No,0
No,Yes,Yes,Yes,$,No,Yes,Italian,0-10,Yes,26
Yes,Yes,Yes,No,$$,Yes,No,Italian,10-30,Yes,31
Yes,Yes,Yes,No,$,No,No,Burger,>60,No,0
No,No,Yes,Yes,$,Yes,No,Italian,10-30,Yes,233
Yes,Yes,Yes,No,$$,No,Yes,Burger,30-60,Yes,31
No,Yes,Yes,Yes,$,No,Yes,Italian,10-30,Yes,95
No,Yes,Yes,No,$,Yes,No,Italian,30-60,Yes,26
No,No,Yes,Yes,$$$,Yes,No,Thai,10-30,Yes,39
No,Yes,Yes,Yes,$,Yes,Yes,Burger,0-10,Yes,26
No,No,Yes,Yes,$,Yes,No,Italian,30-60,Yes,26
No,Yes,Yes,Yes,$,No,No,Thai,10-30,Yes,192
No,No,Yes,Yes,$$,No,Yes,Italian,10-30,Yes,185
No,Yes,Yes,Yes,$,No,Yes,Burger,10-30,Yes,347
Yes,Yes,No,No,$,Yes,No,Burger,10-30,Yes,20
Yes,No,Yes,Yes,$$,No,Yes,Burger,30-60,Yes,77
No,Yes,Yes,Yes,$,Yes,No,Burger,10-30,Yes,26
Yes,No,Yes,Yes,$$$,Yes,Yes,Italian,>60,Yes,162
Yes,Yes,Yes,Yes,$,No,No,Thai,10-30,No,0
Yes,Yes,Yes,Yes,$,No,No,Italian,>60,Yes,26
Yes,No,No,Yes,$,Yes,No,Burger,>60,No,0
Yes,Yes,Yes,Yes,$,No,No,Italian,10-30,No,0
Yes,No,Yes,Yes,$,Yes,Yes,Italian,30-60,Yes,353
No,No,No,Yes,$,Yes,No,Italian,0-10,Yes,20
Yes,Yes,No,No,$,No,No,Burger,0-10,Yes,20
Yes,Yes,Yes,Yes,$,Yes,No,Italian,>60,Yes,345
Yes,Yes,Yes,Yes,$$$,Yes,No,Thai,>60,Yes,195
Yes,No,Yes,Yes,$,No,No,Thai,10-30,No,0
No,No,Yes,Yes,$,No,No,Italian,10-30,No,0
No,Yes,Yes,Yes,$$,No,Yes,Burger,0-10,Yes,31
No,No,No,No,$$,Yes,No,Burger,0-10,Yes,197
No,No,Yes,No,$$,Yes,Yes,Italian,0-10,Yes,31
Yes,No,No,No,$$,Yes,Yes,Burger,>60,No,0
No,No,Yes,No,$$$,Yes,Yes,Italian,>60,Yes,183
No,Yes,Yes,Yes,$$,Yes,No,Italian,0-10,No,0
No,Yes,Yes,Yes,$$,Yes,No,French,30-60,Yes,31
No,Yes,Yes,No,$,Yes,No,Italian,10-30,Yes,29
Yes,No,Yes,No,$$,No,No,Burger,0-10,Yes,31
No,No,Yes,No,$,No,Yes,Italian,30-60,No,0
Yes,No,No,No,$,Yes,No,Italian,30-60,No,0
No,No,No,Yes,$,No,No,Thai,30-60,Yes,20
Yes,Yes,Yes,No,$,No,Yes,French,0-10,Yes,26
Yes,No,Yes,No,$,Yes,No,Italian,>60,No,0
No,No,Yes,Yes,$,Yes,No,Italian,30-60,No,0
No,Yes,No,No,$,No,No,Italian,10-30,Yes,40
No,Yes,Yes,Yes,$,Yes,No,Thai,10-30,Yes,77
No,Yes,Yes,Yes,$$$,Yes,Yes,Italian,30-60,No,0
Yes,No,Yes,No,$,Yes,No,Italian,0-10,No,0
Yes,No,Yes,Yes,$,No,Yes,Thai,>60,No,0
No,No,Yes,Yes,$,No,No,Italian,0-10,Yes,26
No,No,Yes,No,$$,Yes,Yes,Thai,>60,No,0
Yes,No,No,No,$$$,No,Yes,Burger,0-10,Yes,30
No,No,No,Yes,$$,No,No,Burger,10-30,Yes,49
Yes,Yes,No,Yes,$,No,Yes,Burger,30-60,No,0
No,No,Yes,Yes,$,Yes,No,Italian,>60,No,0
Yes,Yes,No,No,$$$,Yes,Yes,Burger,10-30,Yes,261
Yes,Yes,Yes,No,$,Yes,Yes,Italian,10-30,Yes,73
Yes,Yes,Yes,Yes,$,Yes,No,Burger,>60,No,0
Yes,No,Yes,Yes,$,Yes,No,Thai,30-60,Yes,26
Yes,No,Yes,Yes,$$$,Yes,Yes,Italian,0-10,Yes,114
No,Yes,No,No,$,Yes,No,Italian,0-10,Yes,20
Yes,No,No,Yes,$$$,Yes,Yes,Italian,10-30,Yes,261
No,No,No,Yes,$,No,No,Italian,>60,No,0
Yes,Yes,Yes,Yes,$$,Yes,No,Burger,0-10,Yes,379
Yes,No,Yes,No,$,No,No,Italian,>60,No,0
No,No,No,Yes,$,No,Yes,Italian,>60,No,0
No,No,Yes,Yes,$$,Yes,Yes,Italian,0-10,Yes,251
No,No,Yes,No,$,No,No,Italian,>60,No,0
No,Yes,Yes,Yes,$$,Yes,No,French,>60,No,0
Yes,Yes,No,Yes,$$$,Yes,Yes,Italian,>60,Yes,68
No,No,Yes,No,$,No,Yes,French,10-30,Yes,26
Yes,No,Yes,Yes,$,Yes,No,Burger,>60,No,0
No,No,Yes,No,$$,No,No,Burger,30-60,No,0
No,Yes,Yes,Yes,$$,No,No,Italian,>60,No,0
Yes,No,Yes,Yes,$$,No,No,Italian,0-10,Yes,31
Yes,No,No,Yes,$,No,No,Burger,>60,No,0
No,Yes,Yes,Yes,$$,Yes,Yes,French,10-30,Yes,31
Yes,No,Yes,Yes,$,Yes,No,Italian,>60,No,0
Yes,Yes,Yes,Yes,$,Yes,No,Thai,30-60,Yes,279
Yes,No,Yes,Yes,$,Yes,No,Burger,0-10,Yes,26
Yes,Yes,Yes,No,$$,No,Yes,Thai,0-10,Yes,387
Yes,No,Yes,No,$,No,No,Burger,30-60,Yes,396
Yes,No,Yes,Yes,$,No,No,Italian,>60,Yes,26
Yes,Yes,Yes,No,$,Yes,No,Italian,>60,No,0
Yes,Yes,Yes,Yes,$,Yes,No,Burger,0-10,Yes,269
No,Yes,Yes,Yes,$$,No,Yes,Burger,>60,No,0
Yes,Yes,Yes,No,$,Yes,No,French,30-60,Yes,442
No,Yes,Yes,No,$,Yes,No,Italian,30-60,No,0
Yes,No,No,Yes,$$,No,Yes,Burger,30-60,No,0
Yes,Yes,Yes,Yes,$$,Yes,Yes,French,10-30,Yes,55
Yes,Yes,Yes,No,$$,No,No,Burger,10-30,Yes,424
Yes,Yes,Yes,Yes,$$$,Yes,Yes,Italian,10-30,Yes,39
No,Yes,Yes,Yes,$,No,No,French,30-60,Yes,26
No,No,Yes,Yes,$,Yes,No,Italian,0-10,Yes,26
Yes,No,Yes,Yes,$$,Yes,No,Italian,>60,No,0
No,No,Yes,No,$,No,No,Italian,30-60,No,0
Yes,No,Yes,Yes,$$,No,No,Italian,10-30,No,0
Yes,No,No,No,$$,Yes,No,Burger,30-60,No,0
No,Yes,Yes,No,$$,Yes,No,Italian,30-60,Yes,138
No,No,Yes,No,$$,No,No,Burger,>60,No,0
Yes,No,No,No,$,Yes,Yes,Thai,30-60,No,0
Yes,Yes,Yes,Yes,$$,Yes,No,Burger,30-60,Yes,31
No,Yes,Yes,No,$$,No,No,Italian,30-60,Yes,31
Yes,No,Yes,Yes,$$,No,No,Italian,30-60,Yes,85
No,No,Yes,Yes,$,Yes,No,Italian,30-60,Yes,333
Yes,Yes,Yes,Yes,$,No,Yes,French,>60,No,0
Yes,No,Yes,Yes,$,No,No,Italian,30-60,Yes,26
No,Yes,Yes,Yes,$$,No,Yes,Burger,0-10,Yes,252
No,Yes,Yes,No,$,Yes,Yes,French,10-30,Yes,105
No,No,Yes,Yes,$,Yes,No,Thai,0-10,Yes,44
Yes,No,Yes,No,$,Yes,No,Burger,30-60,Yes,359
Yes,No,No,Yes,$$,No,No,Italian,10-30,No,0
Yes,Yes,No,No,$,No,No,Italian,10-30,Yes,61
Yes,Yes,No,Yes,$$$,No,No,Italian,0-10,Yes,78
No,No,Yes,No,$$,Yes,Yes,Italian,10-30,Yes,35
Yes,No,Yes,No,$,No,No,Italian,>60,No,0
Yes,No,No,Yes,$,No,No,Italian,30-60,No,0
Yes,Yes,No,Yes,$$,No,No,Thai,10-30,No,0
No,Yes,Yes,No,$$,Yes,Yes,Italian,>60,No,0
Yes,Yes,Yes,Yes,$$,No,No,Italian,>60,No,0
Yes,No,No,No,$$$,Yes,Yes,Burger,0-10,Yes,628
No,Yes,No,Yes,$,Yes,Yes,Thai,>60,No,0
Yes,Yes,No,Yes,$,No,No,Italian,0-10,Yes,20
Yes,No,Yes,No,$,Yes,No,Italian,0-10,Yes,26
No,Yes,No,Yes,$$,Yes,No,Burger,0-10,Yes,182
Yes,No,Yes,No,$,Yes,Yes,Thai,30-60,Yes,26
Yes,Yes,Yes,No,$,Yes,No,Italian,>60,No,0
Yes,No,Yes,Yes,$$,Yes,Yes,Thai,0-10,Yes,98
No,No,No,Yes,$$,Yes,No,Italian,30-60,No,0
Yes,Yes,Yes,Yes,$,Yes,No,Italian,10-30,Yes,26
Yes,No,Yes,No,$$,No,Yes,Thai,0-10,Yes,31
No,Yes,Yes,Yes,$,Yes,Yes,Italian,10-30,Yes,26
No,No,No,Yes,$,No,No,Burger,30-60,Yes,20
Yes,No,Yes,Yes,$,Yes,No,Italian,0-10,No,0
Yes,No,Yes,No,$$,Yes,Yes,Burger,>60,No,0
Yes,Yes,No,Yes,$$,No,Yes,French,0-10,Yes,173
Yes,No,Yes,Yes,$,No,No,Italian,0-10,Yes,48
No,No,Yes,Yes,$,Yes,Yes,Burger,30-60,Yes,215
Yes,Yes,Yes,No,$$,No,No,French,0-10,Yes,47
No,No,No,Yes,$,Yes,No,Thai,0-10,Yes,425
No,No,No,Yes,$$$,Yes,Yes,Burger,0-10,Yes,757
Yes,No,Yes,Yes,$$,Yes,Yes,Burger,>60,No,0
Yes,No,Yes,Yes,$,No,No,Burger,10-30,No,0
No,Yes,Yes,No,$$,Yes,Yes,Burger,30-60,Yes,31
No,No,Yes,No,$,Yes,Yes,Italian,0-10,No,0
Yes,No,Yes,Yes,$$$,No,Yes,Italian,30-60,No,0
No,Yes,Yes,No,$,Yes,No,Italian,30-60,Yes,26
Yes,No,No,Yes,$,Yes,No,Italian,0-10,Yes,73
Yes,No,Yes,Yes,$,No,No,Thai,0-10,Yes,173
No,Yes,Yes,No,$,No,No,Italian,0-10,Yes,205
No,Yes,Yes,Yes,$,Yes,No,Italian,10-30,Yes,159
Yes,Yes,No,Yes,$,No,No,Thai,30-60,No,0
No,Yes,No,Yes,$,Yes,No,Italian,30-60,Yes,46
Yes,No,No,Yes,$,No,No,French,0-10,Yes,22
Yes,Yes,Yes,No,$$,No,Yes,Burger,10-30,Yes,360
Yes,No,Yes,Yes,$,Yes,No,Burger,>60,No,0
No,Yes,No,Yes,$$$,Yes,No,Italian,10-30,Yes,44
Yes,No,No,Yes,$,No,No,Italian,0-10,Yes,84
Yes,Yes,No,No,$,Yes,No,Italian,10-30,Yes,25
Yes,Yes,Yes,No,$$,Yes,No,Italian,>60,No,0
Yes,No,No,Yes,$,No,No,French,10-30,No,0
Yes,Yes,Yes,No,$,No,No,Italian,0-10,Yes,26
Yes,Yes,Yes,Yes,$$$,Yes,No,French,>60,Yes,39
Yes,Yes,Yes,No,$,No,No,Italian,10-30,Yes,154
Yes,No,Yes,No,$,No,No,Italian,30-60,Yes,26
Yes,Yes,Yes,No,$$,Yes,Yes,Italian,30-60,Yes,170
Yes,Yes,Yes,No,$,Yes,No,Italian,30-60,Yes,279
Yes,No,Yes,Yes,$,Yes,No,Italian,>60,No,0
No,No,Yes,Yes,$,Yes,No,Italian,>60,No,0
Yes,Yes,Yes,No,$,No,No,Burger,>60,No,0
Yes,No,Yes,No,$,Yes,Yes,Burger,>60,Yes,26
Yes,No,Yes,No,$$$,No,Yes,Italian,10-30,Yes,39
No,No,Yes,No,$,Yes,No,Burger,0-10,Yes,126
Yes,Yes,Yes,Yes,$,No,No,Italian,0-10,Yes,26
No,Yes,Yes,Yes,$,No,No,Thai,>60,No,0
Yes,No,No,Yes,$,Yes,Yes,Burger,30-60,Yes,212
Yes,Yes,Yes,Yes,$,No,No,Italian,10-30,No,0
No,No,Yes,Yes,$,No,No,Italian,10-30,Yes,241
Yes,Yes,Yes,Yes,$$,Yes,No,Italian,30-60,Yes,374
No,No,Yes,Yes,$$$,Yes,Yes,Burger,>60,Yes,39
No,Yes,No,Yes,$,Yes,No,Burger,0-10,Yes,20
Yes,No,Yes,Yes,$,No,No,Italian,10-30,No,0
Yes,Yes,Yes,No,$$,No,No,Thai,30-60,Yes,682
Yes,Yes,No,Yes,$$$,No,Yes,French,0-10,Yes,48
Yes,No,Yes,Yes,$,No,No,Burger,10-30,No,0
No,Yes,No,Yes,$,No,No,Burger,30-60,Yes,72
No,Yes,No,No,$,No,No,Burger,10-30,Yes,20
Yes,Yes,No,Yes,$,Yes,No,Burger,>60,No,0
No,Yes,Yes,Yes,$,Yes,No,Thai,10-30,Yes,26
No,Yes,Yes,No,$$$,No,Yes,Italian,>60,No,0
Yes,Yes,No,Yes,$,Yes,No,Burger,0-10,Yes,20
No,Yes,Yes,Yes,$,Yes,No,Italian,0-10,Yes,422
No,Yes,No,No,$$,Yes,No,Italian,>60,No,0
Yes,No,Yes,Yes,$,No,No,Italian,>60,No,0
No,Yes,No,No,$,No,No,Italian,10-30,Yes,173
Yes,No,No,Yes,$$$,No,Yes,French,0-10,Yes,30
No,Yes,No,Yes,$,Yes,Yes,Burger,30-60,Yes,244
Yes,No,Yes,Yes,$$$,Yes,Yes,Italian,>60,Yes,254
No,Yes,Yes,Yes,$,No,No,Thai,0-10,Yes,127
No,No,Yes,Yes,$,Yes,No,Italian,30-60,Yes,26
Yes,No,No,Yes,$$$,No,Yes,Burger,30-60,Yes,236
Yes,Yes,Yes,No,$,No,No,Italian,10-30,Yes,26
Yes,No,Yes,Yes,$$,Yes,Yes,Burger,>60,No,0
Yes,Yes,No,No,$,Yes,No,Italian,0-10,Yes,195
No,Yes,No,No,$,Yes,Yes,Italian,0-10,Yes,146
No,No,No,Yes,$$,No,No,Italian,30-60,Yes,24
No,Yes,Yes,Yes,$$,Yes,Yes,Italian,0-10,Yes,31
Yes,No,Yes,Yes,$$$,Yes,Yes,French,30-60,Yes,39
No,No,Yes,No,$,Yes,No,Italian,10-30,Yes,26
No,Yes,No,No,$$,Yes,Yes,Italian,0-10,Yes,138
Yes,Yes,Yes,Yes,$,No,No,Italian,10-30,No,0
Yes,Yes,Yes,No,$$,Yes,No,Thai,10-30,Yes,31
No,Yes,No,No,$,No,No,Italian,30-60,Yes,20
Yes,Yes,Yes,Yes,$,No,No,Italian,>60,No,0
No,No,Yes,Yes,$,Yes,No,Italian,0-10,Yes,26
No,No,No,No,$,Yes,No,Italian,0-10,Yes,235
Yes,Yes,Yes,No,$$,No,Yes,Italian,0-10,Yes,304
No,Yes,Yes,Yes,$,No,No,Italian,30-60,Yes,185
Yes,Yes,Yes,Yes,$$,Yes,Yes,Italian,10-30,Yes,458
Yes,No,Yes,No,$,Yes,No,Italian,30-60,Yes,26
No,No,No,Yes,$,No,No,Burger,10-30,Yes,20
No,No,Yes,No,$,Yes,No,Italian,30-60,Yes,286
No,Yes,Yes,Yes,$$,No,No,Burger,0-10,Yes,101
Yes,Yes,Yes,No,$$$,Yes,Yes,Burger,30-60,Yes,39
No,No,Yes,Yes,$,Yes,Yes,Burger,>60,No,0
Yes,Yes,Yes,Yes,$,No,Yes,Thai,30-60,Yes,26
Yes,Yes,No,Yes,$,No,No,Burger,>60,No,0
No,No,No,Yes,$$,No,Yes,Burger,10-30,Yes,122
Yes,No,No,Yes,$$,No,Yes,Italian,30-60,No,0
No,Yes,No,Yes,$,No,Yes,Burger,30-60,Yes,77
No,No,No,No,$,No,No,Burger,0-10,Yes,20
No,Yes,Yes,No,$$,Yes,Yes,Italian,0-10,Yes,31
No,No,Yes,Yes,$,Yes,No,Italian,>60,No,0
No,No,Yes,Yes,$$,Yes,No,Italian,10-30,Yes,397
No,Yes,Yes,Yes,$,Yes,No,Italian,10-30,Yes,239
No,Yes,Yes,Yes,$$,No,Yes,Italian,30-60,Yes,485
Yes,No,No,Yes,$,No,No,Italian,0-10,Yes,109
No,Yes,Yes,Yes,$,No,No,Italian,30-60,Yes,227
Yes,No,Yes,Yes,$,No,No,Italian,0-10,Yes,26
Yes,Yes,No,No,$,Yes,No,Italian,10-30,No,0
Yes,No,Yes,No,$,Yes,Yes,Burger,10-30,Yes,300
No,No,No,Yes,$,Yes,No,Thai,0-10,Yes,113
Yes,No,No,No,$$$,Yes,Yes,Italian,30-60,Yes,105
Yes,Yes,No,No,$$$,No,Yes,Italian,10-30,Yes,30
No,No,Yes,No,$,Yes,No,Burger,>60,No,0
No,No,Yes,Yes,$,No,No,Italian,10-30,Yes,26
Yes,No,Yes,Yes,$,Yes,No,Burger,>60,No,0
No,No,Yes,No,$$,Yes,Yes,Italian,0-10,Yes,115
No,Yes,No,Yes,$$$,No,Yes,Italian,30-60,Yes,30
No,Yes,Yes,No,$,Yes,No,French,0-10,Yes,212
No,No,Yes,Yes,$$,No,Yes,French,10-30,No,0
Yes,No,No,Yes,$$,Yes,Yes,Italian,30-60,No,0
No,Yes,Yes,Yes,$,No,No,Italian,30-60,Yes,112
No,No,No,Yes,$,Yes,No,French,0-10,Yes,20
No,Yes,No,No,$$,No,Yes,Italian,0-10,Yes,118
Yes,No,Yes,Yes,$,Yes,No,Burger,10-30,Yes,110
Yes,Yes,Yes,No,$,Yes,No,Burger,>60,No,0
No,No,Yes,No,$,No,Yes,Italian,0-10,Yes,546
No,Yes,Yes,Yes,$$$,Yes,Yes,Burger,30-60,Yes,54
Yes,Yes,Yes,Yes,$,No,No,Italian,>60,No,0
No,Yes,Yes,Yes,$,Yes,No,French,0-10,Yes,353
No,No,Yes,Yes,$$,No,Yes,Italian,0-10,Yes,131
Yes,Yes,Yes,Yes,$$$,No,Yes,Italian,0-10,Yes,209
No,Yes,Yes,Yes,$,Yes,No,Thai,>60,No,0
No,No,Yes,No,$,Yes,Yes,Italian,0-10,Yes,26
Yes,No,Yes,Yes,$,Yes,No,Thai,10-30,Yes,307
Yes,No,Yes,Yes,$$$,Yes,No,Italian,0-10,Yes,39
No,No,Yes,No,$,Yes,No,Italian,30-60,No,0
Yes,Yes,Yes,Yes,$$,No,No,Burger,0-10,Yes,355
No,No,No,No,$,Yes,No,Italian,30-60,No,0
No,No,Yes,Yes,$,Yes,No,Burger,>60,No,0
No,No,Yes,Yes,$,No,No,Italian,0-10,Yes,368
Yes,No,Yes,No,$,No,Yes,Burger,0-10,Yes,26
Yes,No,Yes,No,$,Yes,Yes,Burger,>60,No,0
No,No,No,Yes,$,No,Yes,Burger,10-30,Yes,20
No,No,Yes,Yes,$$,No,Yes,Burger,>60,No,0
Yes,Yes,No,Yes,$$$,No,Yes,Burger,>60,Yes,541
Yes,Yes,Yes,Yes,$,Yes,No,Thai,30-60,Yes,326
Yes,Yes,Yes,No,$$,Yes,Yes,Burger,0-10,Yes,195
No,Yes,Yes,No,$$,Yes,No,Thai,0-10,Yes,65
Yes,Yes,Yes,Yes,$,Yes,No,Burger,30-60,Yes,241
Yes,No,Yes,Yes,$,No,No,Burger,30-60,Yes,218
No,No,No,No,$$,No,No,Burger,0-10,Yes,24
No,No,No,Yes,$,No,No,Burger,10-30,Yes,20
No,No,Yes,No,$,No,No,Italian,10-30,Yes,26
Yes,Yes,No,Yes,$,Yes,No,Burger,30-60,No,0
No,Yes,No,No,$,Yes,No,Italian,0-10,Yes,28
No,No,Yes,No,$,No,No,French,10-30,Yes,209
No,No,Yes,No,$,No,No,Italian,10-30,Yes,331
No,Yes,Yes,No,$$,Yes,No,Italian,0-10,Yes,189
Yes,Yes,No,No,$,No,No,Burger,>60,No,0
No,Yes,No,Yes,$,No,No,Italian,>60,No,0
Yes,No,Yes,Yes,$,No,No,Italian,10-30,No,0
Yes,No,Yes,No,$$$,No,Yes,Burger,>60,Yes,154
Yes,Yes,Yes,Yes,$,No,No,Italian,>60,No,0
No,Yes,No,Yes,$,Yes,No,French,10-30,Yes,46
Yes,No,No,No,$,Yes,No,Italian,0-10,No,0
No,No,No,Yes,$,Yes,No,French,0-10,Yes,265
No,No,Yes,No,$,No,No,Italian,10-30,Yes,26
No,No,No,No,$$$,Yes,Yes,Burger,10-30,No,0
Yes,Yes,Yes,Yes,$$,No,No,Italian,30-60,Yes,31
No,Yes,No,No,$,No,No,French,>60,No,0
No,Yes,Yes,Yes,$,Yes,No,Italian,10-30,Yes,177
No,No,No,No,$,No,No,Italian,>60,No,0
Yes,No,Yes,Yes,$,Yes,No,Italian,10-30,Yes,358
Yes,No,No,Yes,$$,Yes,No,Italian,>60,No,0
Yes,Yes,Yes,No,$,No,No,Burger,0-10,No,0
No,Yes,Yes,Yes,$,Yes,No,French,0-10,Yes,263
Yes,Yes,No,Yes,$,Yes,No,Burger,10-30,Yes,93
No,No,Yes,Yes,$,No,No,French,>60,No,0
No,No,Yes,Yes,$$,No,No,Thai,10-30,Yes,277
Yes,Yes,Yes,No,$,No,No,Italian,>60,No,0
No,No,Yes,Yes,$$,Yes,No,Italian,10-30,Yes,31
Yes,Yes,Yes,No,$$,Yes,No,Italian,10-30,Yes,31
No,Yes,No,No,$,Yes,No,French,30-60,Yes,20
Yes,Yes,No,No,$$$,Yes,Yes,Burger,30-60,No,0
No,Yes,Yes,Yes,$,No,Yes,Italian,30-60,Yes,26
No,No,Yes,Yes,$,No,Yes,Italian,30-60,Yes,213
No,No,No,No,$$,Yes,No,Burger,30-60,Yes,232
No,No,Yes,No,$,Yes,No,French,30-60,No,0
No,No,No,No,$,No,No,Italian,>60,No,0
Yes,No,Yes,No,$$,Yes,No,Italian,30-60,Yes,341
No,No,Yes,No,$$,No,No,Burger,0-10,Yes,87
Yes,Yes,Yes,No,$,No,No,Italian,10-30,Yes,293
Yes,No,No,No,$$,No,Yes,Burger,0-10,No,0
Yes,No,Yes,Yes,$$,Yes,Yes,Italian,30-60,Yes,399
No,No,Yes,Yes,$,No,No,Italian,>60,No,0
No,Yes,Yes,Yes,$,Yes,No,Thai,10-30,No,0
No,No,No,Yes,$$$,No,Yes,Italian,30-60,No,0
Yes,Yes,Yes,No,$$$,Yes,Yes,Italian,10-30,Yes,490
No,No,Yes,Yes,$,No,No,Burger,10-30,Yes,26
No,No,Yes,No,$,Yes,Yes,Burger,0-10,Yes,143
Yes,No,Yes,Yes,$$,Yes,Yes,Italian,>60,No,0
Yes,Yes,Yes,Yes,$,No,No,Italian,10-30,No,0
Yes,Yes,No,Yes,$$,No,No,Italian,>60,No,0
Yes,No,Yes,Yes,$,No,No,Burger,0-10,No,0
Yes,No,Yes,Yes,$$,No,Yes,Italian,30-60,Yes,335
Yes,No,Yes,No,$,No,Yes,Italian,0-10,Yes,376
No,Yes,Yes,Yes,$$$,Yes,Yes,Burger,>60,Yes,39
Yes,Yes,No,Yes,$,Yes,Yes,Italian,30-60,No,0
No,No,Yes,No,$,Yes,No,Thai,>60,No,0
No,Yes,Yes,Yes,$$,Yes,No,Burger,10-30,Yes,181
No,Yes,Yes,Yes,$,No,No,Italian,10-30,Yes,26
Yes,Yes,Yes,No,$,No,No,Italian,>60,No,0
No,Yes,Yes,Yes,$$$,No,No,French,10-30,Yes,181
Yes,No,Yes,Yes,$,No,No,Italian,0-10,Yes,472
Yes,No,Yes,No,$$,No,No,Italian,>60,No,0
No,Yes,Yes,Yes,$,Yes,No,Thai,30-60,Yes,584
Yes,Yes,Yes,Yes,$$,No,Yes,Italian,>60,No,0
No,Yes,Yes,Yes,$,Yes,No,Burger,30-60,Yes,26
No,No,No,Yes,$,Yes,No,Burger,>60,No,0
Yes,No,Yes,No,$$,No,Yes,Burger,>60,No,0
No,Yes,Yes,No,$,No,No,Italian,>60,No,0
No,Yes,Yes,No,$$$,Yes,Yes,Italian,10-30,Yes,394
No,Yes,Yes,No,$$,Yes,No,Thai,>60,No,0
Yes,Yes,No,Yes,$$,Yes,Yes,Italian,30-60,No,0
No,No,Yes,Yes,$,No,No,Italian,>60,No,0
Yes,No,No,Yes,$,No,No,Burger,10-30,No,0
Yes,No,No,No,$,No,No,Italian,0-10,Yes,122
No,No,Yes,No,$,Yes,No,Italian,10-30,No,0
No,No,Yes,Yes,$,Yes,No,Italian,10-30,Yes,181
Yes,No,Yes,Yes,$$$,Yes,Yes,Thai,30-60,No,0
Yes,Yes,No,Yes,$,No,No,Burger,>60,Yes,225
No,Yes,Yes,Yes,$$,Yes,Yes,French,0-10,Yes,339
No,No,Yes,Yes,$,No,No,Italian,0-10,Yes,26
Yes,No,No,Yes,$,No,Yes,Burger,0-10,Yes,142
Yes,No,Yes,Yes,$,No,No,Italian,10-30,No,0
Yes,Yes,No,Yes,$,No,No,Burger,30-60,No,0
Yes,Yes,Yes,No,$$,No,Yes,Italian,0-10,No,0
Yes,Yes,Yes,Yes,$$$,Yes,Yes,Italian,10-30,Yes,55
No,Yes,Yes,No,$$,No,No,Italian,10-30,Yes,31
Yes,No,Yes,No,$$,No,No,Thai,30-60,Yes,209
Yes,Yes,Yes,No,$,Yes,No,Italian,10-30,Yes,216
No,No,Yes,No,$,Yes,No,Italian,>60,No,0
No,Yes,Yes,Yes,$,Yes,No,Italian,10-30,Yes,26
Yes,Yes,Yes,Yes,$$,No,Yes,French,30-60,Yes,84
Yes,Yes,Yes,Yes,$,No,No,French,10-30,No,0
No,Yes,Yes,No,$,No,Yes,Italian,10-30,Yes,286
Yes,No,No,No,$,Yes,Yes,Italian,10-30,Yes,221
Yes,No,No,Yes,$$$,No,No,Burger,0-10,No,0
No,No,Yes,No,$$,Yes,Yes,Italian,>60,No,0
Yes,No,No,Yes,$,Yes,No,Italian,0-10,Yes,118
No,No,Yes,Yes,$$$,No,No,Italian,10-30,Yes,39
No,No,Yes,Yes,$,Yes,No,Burger,10-30,No,0
No,No,Yes,Yes,$,Yes,No,Burger,10-30,Yes,26
No,Yes,Yes,Yes,$,No,No,Italian,30-60,Yes,26
Yes,No,Yes,No,$,No,No,French,>60,Yes,102
No,Yes,No,Yes,$,No,No,Burger,0-10,Yes,20
Yes,No,Yes,Yes,$,No,No,Italian,>60,No,0
Yes,Yes,Yes,No,$$$,No,Yes,Thai,10-30,Yes,39
Yes,No,No,No,$,No,No,Italian,30-60,No,0
Yes,Yes,No,Yes,$,No,No,Burger,>60,No,0
Yes,No,No,Yes,$$,Yes,Yes,Italian,30-60,No,0
No,No,No,No,$$,Yes,No,Italian,>60,No,0
No,No,No,Yes,$$$,Yes,Yes,French,10-30,Yes,54
No,No,Yes,Yes,$,No,No,Italian,0-10,Yes,26
No,Yes,Yes,Yes,$$,No,Yes,Italian,30-60,Yes,142
Yes,No,Yes,Yes,$,Yes,No,Burger,>60,No,0
No,No,No,Yes,$,No,No,Italian,10-30,Yes,65
Yes,Yes,Yes,Yes,$,Yes,No,Italian,10-30,Yes,26
Yes,No,Yes,Yes,$,No,Yes,Italian,0-10,Yes,26
No,Yes,Yes,No,$,No,No,French,>60,No,0
No,Yes,Yes,Yes,$$,No,No,Burger,0-10,Yes,219
No,No,Yes,Yes,$,No,Yes,French,>60,No,0
No,No,Yes,Yes,$$$,No,No,Burger,10-30,Yes,113
Yes,Yes,Yes,No,$$$,Yes,Yes,Italian,30-60,Yes,39
