ID,Responded,Previous,ControlPackage,PostalCode,Age,Income,Education,Reside,Gender,Married,Children,Region,Sequence
5325, ,No, ,95100,52,75+,Some high school or less,12,Female,Yes,2,West,1092
5326, ,No, ,96660,51,75+,Post-graduate,9,Female,Yes,0,West,1474
5327, ,No, ,75620,54,75+,Post-graduate,14,Female,Yes,0,South,2610
5328, ,No, ,93870,49,75+,College,9,Male,Yes,0,West,144
5329,No,No,Test,60100,56,75+,Some high school or less,6,Female,No,2,North,5021
5330, ,No, ,74770,38,50-74,College,9,Male,No,0,South,3661
5331, ,No, ,75460,45,25-49,College,10,Female,No,0,South,2029
5332,No,No,Control,11320,43,75+,Some high school or less,8,Female,Yes,2,East,8874
5333, ,No, ,96300,39,75+,High school,4,Male,No,0,West,459
5334, ,No, ,60970,35,25-49,Post-graduate,9,Female,Yes,1,North,5866
5335, ,No, ,11180,27,<25,Some college,13,Male,No,0,East,9347
5336,No,No,Control,10320,49,25-49,Some high school or less,12,Female,No,1,East,8509
5337, ,No, ,10320,37,50-74,Post-graduate,11,Male,No,0,East,9616
5338, ,No, ,61820,55,75+,College,7,Female,No,1,North,5416
5339, ,No, ,62320,32,50-74,High school,11,Female,No,1,North,5549
5340, ,No, ,93860,34,<25,Some high school or less,11,Male,Yes,1,West,142
5341, ,No, ,60850,24,75+,Some college,11,Male,No,0,North,7062
5342,No,No,Test,74420,28,50-74,Some college,5,Male,No,0,South,3567
5343, ,No, ,61870,43,25-49,High school,10,Male,No,1,North,7314
5344, ,No, ,61590,52,25-49,Some college,6,Female,Yes,2,North,6014
5345, ,Yes, ,92450,51,25-49,Post-graduate,5,Female,Yes,2,West,482
5346, ,No, ,93670,45,75+,College,14,Female,Yes,2,West,4931
5347, ,No, ,60610,38,50-74,Some high school or less,7,Male,No,0,North,6997
5348, ,No, ,94430,28,75+,College,9,Male,No,0,West,4142
5349, ,No, ,94310,19,<25,Some high school or less,14,Male,No,0,West,4140
5350,No,No,Test,75050,50,75+,College,10,Male,Yes,0,South,3058
5351,No,No,Control,10050,31,75+,Some high school or less,6,Female,No,2,East,8402
5352, ,No, ,11770,38,<25,Some college,13,Female,No,0,East,9055
5353, ,No, ,11040,46,75+,College,6,Female,No,3,East,8758
5354, ,No, ,10310,30,<25,Post-graduate,9,Female,No,0,East,8506
5355, ,No, ,96570,46,50-74,High school,8,Male,Yes,3,West,400
5356, ,No, ,95420,44,50-74,Some college,16,Female,No,1,West,1177
5357, ,No, ,95380,63,75+,Post-graduate,16,Male,Yes,3,West,279
5358, ,No, ,10050,38,<25,Post-graduate,8,Female,No,0,East,8403
5359, ,Yes, ,11060,29,75+,Post-graduate,11,Female,No,0,East,8766
5360, ,No, ,61300,60,50-74,Post-graduate,9,Female,Yes,2,North,5944
5361, ,No, ,11100,62,25-49,Some college,6,Female,No,1,East,8777
5362, ,No, ,11460,44,75+,High school,8,Female,Yes,0,East,8933
5363, ,No, ,74440,34,25-49,Some high school or less,12,Male,Yes,1,South,2898
5364, ,No, ,09680,28,<25,High school,12,Female,Yes,1,East,8280
5365, ,No, ,74600,47,50-74,High school,13,Male,Yes,3,South,2942
5366,No,No,Control,62100,41,75+,Some high school or less,6,Female,Yes,0,North,6138
5367, ,No, ,74330,48,25-49,College,13,Female,No,1,South,1781
5368, ,No, ,96740,44,50-74,Post-graduate,15,Female,Yes,2,West,1496
5369, ,No, ,60630,44,75+,College,13,Female,Yes,2,North,5787
5370, ,No, ,94450,43,50-74,Post-graduate,11,Male,No,3,West,4380
5371, ,No, ,61470,56,75+,Some high school or less,8,Female,No,1,North,5350
5372, ,No, ,10910,58,50-74,Post-graduate,5,Female,Yes,3,East,8712
5373, ,No, ,09680,35,25-49,Post-graduate,10,Female,No,0,East,9992
5374, ,No, ,97120,25,25-49,Post-graduate,9,Female,No,0,West,1585
5375, ,No, ,93920,45,50-74,Some high school or less,7,Male,No,2,West,4341
5376, ,No, ,94230,49,50-74,Post-graduate,8,Male,No,2,West,4365
5377, ,Yes, ,95990,44,25-49,Some college,9,Female,Yes,0,West,1309
5378,No,No,Test,61200,26,25-49,College,7,Female,No,1,North,5276
5379, ,No, ,11630,50,75+,Some college,8,Female,No,1,East,8993
5380,No,No,Control,93560,52,50-74,Post-graduate,8,Male,No,1,West,4315
5381, ,No, ,61700,36,50-74,Some high school or less,14,Male,No,0,North,7272
5382, ,No, ,12160,34,<25,High school,10,Female,No,0,East,9179
5383, ,No, ,60010,41,25-49,High school,13,Male,Yes,0,North,6232
5384, ,No, ,93570,46,50-74,Some college,8,Male,No,1,West,4638
5385,No,No,Control,61670,41,50-74,Some college,3,Male,No,0,North,7260
5386, ,No, ,76210,55,75+,Post-graduate,6,Male,Yes,2,South,3377
5387, ,No, ,12270,48,75+,Some high school or less,7,Female,Yes,2,East,9214
5388,No,No,Control,93900,51,50-74,College,10,Female,No,0,West,806
5389,No,No,Control,09930,54,75+,Some college,10,Female,Yes,2,East,8354
5390,No,No,Control,97100,50,25-49,High school,14,Female,No,1,West,1580
5391, ,No, ,09530,39,75+,College,3,Male,Yes,2,East,7649
5392, ,No, ,93720,40,75+,Post-graduate,12,Male,No,0,West,4329
5393,No,No,Test,61480,53,25-49,Post-graduate,11,Male,Yes,0,North,6569
5394,No,No,Test,93620,56,50-74,High school,7,Female,No,3,West,748
5395, ,No, ,62110,42,50-74,Some high school or less,14,Female,Yes,3,North,6140
5396, ,No, ,60710,42,75+,Post-graduate,11,Female,Yes,2,North,5804
5397, ,No, ,75530,38,<25,Post-graduate,3,Female,Yes,1,South,2590
5398, ,No, ,74480,40,25-49,Some college,12,Female,No,0,South,3401
5399, ,No, ,93020,54,50-74,Post-graduate,6,Female,Yes,2,West,595
5400, ,No, ,74780,37,<25,High school,13,Male,Yes,1,South,3671
5401, ,No, ,74140,44,<25,High school,5,Female,No,0,South,1737
5402, ,No, ,95590,40,50-74,High school,9,Male,No,0,West,4487
5403,No,No,Test,60400,45,50-74,College,8,Male,No,0,North,6946
5404,No,No,Test,61970,30,75+,Some high school or less,8,Male,No,0,North,7337
5405, ,Yes, ,95430,39,<25,High school,5,Female,No,0,West,4707
5406, ,No, ,94880,66,75+,Post-graduate,13,Female,Yes,2,West,1030
5407,No,No,Test,93960,33,<25,Some high school or less,8,Male,Yes,1,West,150
5408,Yes,No,Test,95720,51,75+,Some high school or less,10,Male,No,0,West,4497
5409, ,No, ,96720,51,75+,College,14,Female,Yes,2,West,1491
5410, ,No, ,74730,30,<25,Post-graduate,6,Female,No,0,South,1871
5411, ,No, ,93620,26,25-49,High school,9,Female,No,0,West,746
5412, ,No, ,11130,31,<25,Some high school or less,12,Female,Yes,0,East,8792
5413, ,No, ,74810,40,50-74,Some high school or less,9,Male,Yes,0,South,3000
5414, ,No, ,09310,56,50-74,Post-graduate,13,Female,No,4,East,8143
5415,No,No,Test,75590,28,50-74,Some college,12,Female,No,0,South,2061
5416, ,No, ,97430,49,25-49,Some college,6,Female,Yes,2,West,1653
5417, ,No, ,60830,49,25-49,High school,9,Male,Yes,0,North,6406
5418, ,Yes, ,11220,56,75+,Post-graduate,10,Male,No,0,East,9774
5419,Yes,No,Test,11470,52,50-74,Some high school or less,14,Female,No,3,East,8943
5420,No,No,Control,62170,70,25-49,High school,12,Female,Yes,0,North,6152
5421,No,No,Control,96980,41,25-49,Some high school or less,11,Male,Yes,2,West,4908
5422, ,No, ,09750,49,75+,Post-graduate,9,Male,Yes,3,East,7678
5423,No,Yes,Test,09870,45,50-74,Post-graduate,11,Female,Yes,3,East,8332
5424, ,No, ,11520,48,25-49,Post-graduate,8,Female,No,1,East,8957
5425,No,No,Test,62050,51,75+,Some high school or less,12,Male,Yes,2,North,6704
5426, ,No, ,76040,23,75+,College,10,Male,No,0,South,4028
5427, ,No, ,75570,43,25-49,Some college,6,Female,Yes,2,South,2600
5428, ,No, ,12050,35,75+,Some high school or less,4,Male,Yes,2,East,7930
5429, ,No, ,75110,37,25-49,High school,4,Female,Yes,2,South,2496
5430,No,No,Control,93870,54,75+,High school,11,Male,Yes,2,West,4773
5431, ,No, ,62010,27,<25,Some high school or less,11,Male,No,0,North,7345
5432, ,No, ,10000,53,75+,Post-graduate,11,Female,Yes,2,East,7580
5433, ,No, ,60070,26,75+,College,14,Female,No,0,North,5017
5434, ,No, ,61160,60,50-74,High school,10,Male,No,0,North,5566
5435, ,No, ,60810,44,25-49,Some high school or less,7,Male,No,0,North,7044
5436, ,No, ,93140,62,25-49,Some high school or less,9,Male,Yes,3,West,86
5437, ,No, ,10620,31,25-49,Some high school or less,10,Male,No,1,East,9680
5438, ,No, ,74610,36,<25,Post-graduate,8,Male,No,0,South,3618
5439, ,No, ,95450,63,50-74,College,10,Male,Yes,3,West,289
5440, ,No, ,59890,48,75+,Some college,7,Female,No,1,North,4965
5441, ,No, ,60580,33,25-49,College,8,Female,No,0,North,5141
5442, ,No, ,75950,26,25-49,High school,10,Male,No,0,South,4007
5443, ,No, ,09410,34,<25,College,10,Female,Yes,1,East,8170
5444, ,No, ,92440,45,50-74,High school,5,Male,No,1,West,4225
5445, ,No, ,60500,23,75+,Some high school or less,8,Male,No,0,North,6968
5446, ,No, ,59830,21,25-49,College,12,Male,No,0,North,6803
5447, ,No, ,12010,57,25-49,College,9,Male,No,1,East,9906
5448, ,No, ,59950,30,25-49,Post-graduate,11,Female,No,0,North,4983
5449,No,No,Test,95190,47,75+,Some college,9,Male,Yes,3,West,266
5450,No,No,Control,95030,22,<25,Some college,8,Male,No,0,West,4432
5451,No,No,Test,96090,17,25-49,College,10,Female,No,0,West,1338
5452, ,No, ,96370,38,25-49,Post-graduate,17,Female,Yes,1,West,1398
5453, ,No, ,61600,47,25-49,High school,8,Female,Yes,2,North,6017
5454, ,No, ,74900,26,75+,College,9,Male,Yes,0,South,3027
5455,No,No,Test,74200,27,<25,Some high school or less,8,Male,Yes,1,South,2837
5456, ,No, ,60530,24,50-74,High school,11,Female,No,0,North,5121
5457, ,No, ,60830,35,75+,Post-graduate,10,Male,No,0,North,7051
5458, ,No, ,61730,31,75+,Post-graduate,8,Male,No,0,North,7280
5459, ,No, ,11590,55,75+,Some college,2,Female,Yes,3,East,8982
5460,No,No,Control,08980,39,50-74,Post-graduate,13,Female,Yes,0,East,8023
5461, ,No, ,74100,45,75+,High school,11,Female,Yes,3,South,2256
5462, ,No, ,75820,47,25-49,Some college,12,Male,No,0,South,3966
5463, ,No, ,61710,64,75+,High school,12,Male,Yes,3,North,6623
5464, ,No, ,62220,39,25-49,College,9,Female,Yes,1,North,6160
5465, ,No, ,97220,31,50-74,Post-graduate,12,Female,No,2,West,1678
5466, ,No, ,10350,23,25-49,Some high school or less,11,Male,No,0,East,9340
5467,No,No,Control,96910,43,<25,College,2,Female,No,0,West,1530
5468,Yes,No,Test,94810,34,75+,High school,10,Female,No,1,West,1012
5469,No,No,Test,09290,33,75+,Some high school or less,21,Male,No,0,East,9421
5470, ,No, ,10930,19,<25,Some college,10,Male,No,0,East,9728
5471, ,No, ,74460,65,75+,College,8,Female,Yes,2,South,2336
5472, ,No, ,74590,37,<25,Post-graduate,7,Female,No,0,South,3403
5473, ,No, ,60950,43,25-49,College,4,Female,Yes,2,North,5863
5474, ,No, ,75250,49,25-49,Post-graduate,7,Male,Yes,0,South,3114
5475, ,No, ,75300,32,<25,College,7,Female,No,0,South,1989
5476,No,No,Test,97240,19,25-49,High school,10,Female,No,0,West,1611
5477, ,No, ,60890,24,<25,High school,14,Female,No,0,North,5206
5478, ,No, ,93990,42,75+,Post-graduate,12,Male,Yes,2,West,4786
5479, ,No, ,10860,60,50-74,Some college,9,Female,Yes,3,East,9316
5480, ,No, ,93640,29,<25,College,10,Male,No,0,West,4322
5481, ,No, ,60870,24,<25,Some college,11,Male,No,0,North,7069
5482, ,No, ,10310,23,<25,Post-graduate,7,Male,No,0,East,9615
5483, ,No, ,74570,34,<25,Some high school or less,9,Female,Yes,0,South,2355
5484, ,No, ,96660,20,25-49,Some college,9,Female,No,0,West,1475
5485,No,No,Control,74780,48,75+,Some high school or less,10,Male,No,0,South,3666
5486,No,No,Control,75870,38,<25,College,9,Male,Yes,0,South,3276
5487, ,No, ,93090,35,75+,Some high school or less,7,Female,No,0,West,624
5488, ,No, ,94080,50,50-74,Some high school or less,10,Male,No,1,West,162
5489, ,No, ,10880,62,75+,College,9,Female,Yes,3,East,8701
5490, ,No, ,93590,45,75+,Some college,10,Male,Yes,3,West,127
5491, ,No, ,60530,24,<25,Some college,8,Male,No,0,North,6977
5492, ,No, ,96440,66,75+,High school,12,Female,Yes,2,West,1418
5493, ,No, ,10570,41,75+,Some high school or less,11,Female,No,0,East,8597
5494, ,No, ,75790,35,75+,College,10,Male,Yes,0,South,3258
5495, ,No, ,74310,54,50-74,College,10,Female,Yes,2,South,2299
5496, ,No, ,75230,27,<25,Some high school or less,10,Female,No,0,South,1978
5497, ,No, ,11040,45,50-74,High school,6,Male,Yes,2,East,9272
5498, ,No, ,09530,46,75+,Some high school or less,12,Female,No,2,East,8224
5499,No,No,Test,61060,40,25-49,Some high school or less,7,Female,Yes,1,North,5890
5500, ,No, ,94620,34,50-74,College,6,Male,Yes,2,West,4803
5501, ,No, ,09670,43,75+,Some college,5,Female,No,3,East,8272
5502, ,No, ,96380,36,50-74,Some high school or less,13,Female,Yes,0,West,1401
5503, ,No, ,60700,49,50-74,Some college,12,Male,Yes,3,North,6376
5504, ,Yes, ,10850,54,25-49,Some college,10,Female,Yes,2,East,8695
5505,No,No,Test,61200,43,75+,High school,12,Male,Yes,2,North,6510
5506, ,No, ,11990,44,50-74,Some high school or less,13,Female,No,3,East,9110
5507, ,No, ,96590,43,50-74,Some college,12,Male,No,2,West,4945
5508,No,No,Test,74330,52,75+,College,12,Male,Yes,0,South,2870
5509,No,Yes,Control,60150,33,50-74,High school,14,Male,No,0,North,6875
5510, ,No, ,60470,24,25-49,Some high school or less,9,Male,No,0,North,6962
5511, ,No, ,94310,24,25-49,Post-graduate,12,Female,No,0,West,906
5512, ,No, ,93010,43,25-49,Post-graduate,8,Female,Yes,0,West,593
5513, ,No, ,96510,24,<25,High school,6,Male,Yes,1,West,4194
5514, ,No, ,61160,51,25-49,Post-graduate,12,Male,No,1,North,7125
5515, ,No, ,94150,24,<25,Some high school or less,5,Male,Yes,2,West,167
5516, ,No, ,93630,49,25-49,College,10,Male,Yes,3,West,4319
5517, ,No, ,62060,50,25-49,High school,8,Female,Yes,2,North,6129
5518, ,No, ,93010,35,<25,Some high school or less,9,Male,No,0,West,4276
5519, ,No, ,61000,34,75+,College,10,Male,No,0,North,7089
5520, ,No, ,75670,31,75+,Post-graduate,14,Male,No,0,South,3920
5521, ,No, ,75670,43,<25,Post-graduate,10,Female,No,0,South,2087
5522, ,No, ,11710,56,75+,College,14,Male,Yes,3,East,7903
5523, ,No, ,10340,29,25-49,College,11,Female,No,0,East,9314
5524, ,No, ,10340,49,75+,Some college,10,Male,Yes,2,East,7762
5525, ,Yes, ,94660,44,75+,Some high school or less,6,Male,Yes,3,West,4808
5526, ,No, ,97400,40,75+,High school,8,Male,No,0,West,4627
5527, ,No, ,94550,34,25-49,High school,9,Male,Yes,1,West,205
5528, ,No, ,11050,49,75+,Some high school or less,9,Male,Yes,3,East,7836
5529, ,No, ,10940,31,50-74,College,9,Male,No,0,East,9730
5530, ,No, ,11300,43,25-49,Some college,11,Female,Yes,0,East,8855
5531, ,No, ,96230,73,75+,College,10,Female,Yes,0,West,1363
5532, ,No, ,95050,50,75+,High school,6,Female,Yes,2,West,1078
5533,No,No,Test,94390,35,25-49,High school,10,Female,No,0,West,1669
5534, ,No, ,93210,61,75+,Some high school or less,9,Male,Yes,2,West,95
5535, ,No, ,96450,46,50-74,College,11,Male,No,1,West,4552
5536, ,No, ,95300,27,75+,Some high school or less,15,Male,No,0,West,4457
5537, ,No, ,74720,38,50-74,Post-graduate,3,Female,Yes,0,South,2399
5538, ,No, ,61500,21,<25,Post-graduate,6,Female,No,0,North,5361
5539, ,No, ,60150,48,50-74,Some college,11,Male,Yes,3,North,6261
5540, ,No, ,76110,31,<25,Some high school or less,13,Male,No,0,South,2222
5541, ,No, ,75930,62,75+,Post-graduate,5,Female,Yes,2,South,2693
5542, ,No, ,94250,49,<25,Some college,10,Female,No,0,West,885
5543, ,No, ,97010,57,75+,Post-graduate,13,Male,Yes,0,West,4205
5544, ,No, ,62140,31,<25,Some college,9,Male,No,0,North,7382
5545,No,No,Control,94640,36,75+,Post-graduate,10,Male,No,0,West,4399
5546, ,No, ,10580,14,<25,High school,8,Male,No,0,East,9675
5547, ,No, ,11110,47,50-74,College,5,Male,Yes,2,East,7531
5548, ,No, ,62130,44,50-74,Some college,10,Female,No,3,North,5500
5549, ,No, ,60430,44,50-74,Post-graduate,10,Female,Yes,3,North,5742
5550,No,No,Control,61110,55,25-49,Some college,12,Male,No,1,North,5565
5551,No,No,Control,60530,32,25-49,College,9,Female,No,1,North,5128
5552, ,No, ,09240,32,75+,High school,6,Male,No,0,East,7445
5553, ,No, ,74480,43,50-74,Post-graduate,9,Male,Yes,2,South,2910
5554, ,No, ,75060,38,25-49,High school,8,Female,No,0,South,1943
5555,No,No,Test,60380,50,25-49,High school,8,Female,No,1,North,5094
5556, ,No, ,10460,33,75+,Post-graduate,8,Male,No,0,East,9645
5557, ,No, ,61470,54,25-49,Post-graduate,12,Female,Yes,0,North,5991
5558, ,Yes, ,61620,40,<25,High school,10,Male,No,0,North,7245
5559,No,No,Test,08990,62,75+,College,9,Female,Yes,0,East,8027
5560, ,No, ,61070,41,25-49,Some high school or less,14,Female,Yes,3,North,6475
5561, ,No, ,62030,58,75+,High school,8,Female,Yes,2,North,6122
5562, ,No, ,75250,50,75+,High school,9,Male,No,0,South,2216
5563, ,No, ,75040,56,50-74,College,14,Female,Yes,2,South,2470
5564, ,No, ,11750,60,75+,Post-graduate,7,Female,No,1,East,9048
5565, ,No, ,60650,37,<25,Post-graduate,10,Female,Yes,0,North,5792
5566,No,No,Test,09480,57,50-74,Some high school or less,10,Female,Yes,2,East,8201
5567, ,No, ,61380,40,25-49,Post-graduate,8,Female,Yes,2,North,5972
5568, ,No, ,74490,43,25-49,High school,8,Male,Yes,2,South,2914
5569, ,No, ,60110,57,50-74,High school,11,Female,Yes,3,North,5666
5570, ,No, ,74310,23,75+,Some high school or less,12,Male,No,0,South,3539
5571, ,No, ,74670,46,25-49,Some high school or less,11,Female,Yes,0,South,2384
5572, ,No, ,74810,19,75+,Some high school or less,12,Male,No,0,South,3679
5573,No,No,Test,97210,39,25-49,College,9,Male,No,1,West,4611
5574,No,No,Test,74710,39,25-49,High school,12,Female,No,1,South,1863
5575, ,No, ,75300,44,50-74,High school,7,Male,No,0,South,3819
5576,Yes,No,Test,94340,32,25-49,High school,14,Female,No,0,West,913
5577, ,No, ,75380,46,75+,Post-graduate,7,Female,Yes,0,South,2557
5578,No,No,Test,09560,50,75+,College,12,Male,Yes,2,East,7981
5579, ,Yes, ,74570,53,75+,Post-graduate,8,Male,Yes,0,South,2935
5580,No,No,Control,92750,47,75+,Some college,4,Male,Yes,2,West,60
5581, ,No, ,60520,56,75+,Some college,6,Female,Yes,2,North,5764
5582, ,No, ,96710,45,50-74,High school,11,Male,No,2,West,4579
5583, ,No, ,93440,50,<25,Some college,11,Female,No,0,West,709
5584, ,No, ,11250,43,75+,Some college,6,Male,Yes,2,East,7857
5585, ,No, ,60230,41,75+,Some college,7,Male,No,1,North,6904
5586, ,No, ,60840,51,75+,High school,10,Male,Yes,0,North,6413
5587, ,No, ,75750,20,<25,High school,4,Female,Yes,0,South,2645
5588, ,No, ,94310,21,<25,Some college,13,Male,No,0,West,4370
5589, ,No, ,09890,30,75+,Post-graduate,7,Female,Yes,1,East,8343
5590,No,No,Test,94630,28,<25,Some college,10,Female,No,0,West,973
5591,No,No,Test,74050,27,50-74,Post-graduate,13,Male,No,0,South,3453
5592, ,Yes, ,61880,40,<25,College,12,Female,No,0,North,5434
5593, ,No, ,74530,33,<25,High school,16,Female,Yes,0,South,2346
5594, ,No, ,74600,29,50-74,Post-graduate,8,Female,Yes,0,South,2361
5595, ,No, ,76050,32,50-74,Some college,15,Male,No,0,South,4033
5596, ,Yes, ,60260,53,50-74,College,12,Female,No,1,North,5068
5597, ,No, ,61500,49,50-74,High school,16,Male,No,0,North,7212
5598, ,No, ,61150,40,75+,Some college,9,Female,Yes,1,North,5909
5599, ,No, ,61690,43,75+,High school,8,Female,Yes,3,North,6037
5600, ,No, ,74630,38,25-49,Some college,9,Male,No,1,South,3629
5601, ,No, ,60940,31,<25,Some college,6,Male,No,0,North,7081
5602, ,No, ,09990,55,25-49,Some high school or less,12,Female,Yes,0,East,8379
5603, ,No, ,11420,26,25-49,Some college,9,Female,No,0,East,8919
5604, ,No, ,75100,32,<25,College,10,Male,Yes,1,South,3068
5605, ,No, ,74350,28,50-74,Post-graduate,2,Male,No,0,South,3553
5606, ,No, ,09970,36,25-49,Post-graduate,7,Male,Yes,1,East,7710
5607,No,No,Test,95540,50,75+,High school,13,Male,Yes,2,West,300
5608, ,No, ,10200,28,75+,Some college,9,Male,No,0,East,9586
5609, ,No, ,93010,36,75+,Post-graduate,9,Male,No,0,West,4277
5610, ,Yes, ,10850,39,25-49,Post-graduate,9,Male,No,0,East,9715
5611, ,No, ,10860,44,75+,College,9,Male,Yes,2,East,7821
5612, ,No, ,75310,32,<25,Some college,4,Male,Yes,0,South,3823
5613, ,No, ,93300,42,75+,Post-graduate,8,Female,No,3,West,666
5614, ,No, ,61520,45,50-74,Some high school or less,4,Male,Yes,2,North,6580
5615, ,No, ,95870,55,75+,Some college,11,Male,Yes,3,West,4861
5616, ,No, ,11000,54,75+,Some high school or less,9,Male,Yes,3,East,7831
5617, ,Yes, ,10480,17,<25,High school,6,Female,No,0,East,8571
5618, ,No, ,75060,49,75+,Some college,6,Female,Yes,2,South,2475
5619, ,Yes, ,10010,23,75+,College,8,Male,No,0,East,7724
5620,No,No,Control,74460,35,25-49,High school,8,Male,No,0,South,3580
5621, ,No, ,93230,43,25-49,College,9,Female,Yes,2,West,649
5622, ,Yes, ,74960,53,75+,Some college,11,Female,Yes,2,South,2454
5623, ,No, ,09690,23,75+,Some high school or less,5,Male,Yes,1,East,7668
5624,No,No,Test,60260,47,75+,Some college,16,Male,No,0,North,6913
5625, ,No, ,93270,33,75+,Post-graduate,14,Male,Yes,0,West,101
5626, ,No, ,75270,55,50-74,Some high school or less,10,Female,Yes,2,South,2538
5627, ,No, ,12140,51,75+,High school,7,Male,Yes,3,East,7939
5628, ,No, ,61580,44,50-74,Some college,11,Female,Yes,2,North,6013
5629, ,No, ,94660,46,50-74,College,6,Male,Yes,2,West,4806
5630, ,No, ,74850,69,50-74,College,8,Female,No,1,South,1899
5631, ,No, ,10550,53,75+,Some high school or less,11,Male,Yes,3,East,9260
5632, ,No, ,60240,44,25-49,Some college,6,Male,Yes,0,North,6279
5633, ,Yes, ,96640,51,75+,Some high school or less,9,Female,No,2,West,1468
5634, ,No, ,10880,30,50-74,Some high school or less,7,Male,No,0,East,9721
5635, ,No, ,60060,18,<25,College,9,Female,No,0,North,5011
5636, ,No, ,74950,50,50-74,High school,10,Female,Yes,3,South,2451
5637, ,No, ,93960,60,50-74,College,9,Male,No,2,West,151
5638, ,No, ,61090,32,<25,High school,8,Male,No,0,North,7110
5639, ,Yes, ,61850,48,75+,Some high school or less,13,Female,Yes,2,North,6081
5640, ,No, ,96440,67,75+,College,9,Male,Yes,0,West,4883
5641, ,No, ,94880,44,50-74,Some college,11,Male,No,3,West,4421
5642, ,No, ,96850,69,50-74,High school,8,Female,Yes,3,West,1516
5643, ,No, ,94670,55,75+,Some high school or less,11,Female,Yes,2,West,984
5644, ,No, ,96270,38,25-49,Post-graduate,15,Female,No,0,West,1373
5645,No,No,Test,74200,64,75+,Some high school or less,10,Male,Yes,2,South,2838
5646,Yes,No,Test,75870,58,25-49,Post-graduate,14,Female,No,1,South,2136
5647, ,No, ,12250,56,75+,High school,8,Male,Yes,3,East,9290
5648, ,No, ,74390,46,75+,College,7,Female,Yes,2,South,2317
5649, ,No, ,61090,36,<25,College,7,Male,Yes,1,North,6479
5650,No,No,Test,61230,33,<25,High school,8,Male,Yes,0,North,6519
5651, ,No, ,92400,39,75+,Some college,6,Female,Yes,0,West,468
5652, ,No, ,75310,50,25-49,College,9,Male,Yes,0,South,3133
5653,No,No,Control,11980,14,25-49,Post-graduate,6,Male,No,0,East,9903
5654, ,No, ,75660,15,<25,Some college,12,Male,No,0,South,3919
5655, ,No, ,60010,31,25-49,College,12,Female,No,1,North,5000
5656, ,No, ,97330,42,25-49,College,10,Male,No,0,West,4701
5657, ,No, ,94310,42,25-49,Some high school or less,10,Female,No,1,West,907
5658, ,No, ,75170,36,<25,Post-graduate,12,Male,Yes,0,South,3092
5659, ,No, ,96240,33,50-74,Post-graduate,8,Female,No,2,West,1366
5660, ,No, ,74100,34,25-49,Some college,13,Female,Yes,1,South,2257
5661, ,No, ,96060,32,75+,High school,7,Female,No,4,West,1330
5662, ,No, ,11120,46,25-49,Some college,16,Female,Yes,2,East,8787
5663,No,No,Control,94780,42,50-74,Some high school or less,13,Male,Yes,0,West,4816
5664, ,No, ,11580,65,75+,Post-graduate,7,Female,Yes,2,East,8981
5665, ,Yes, ,09030,55,75+,College,9,Male,Yes,2,East,7597
5666,No,No,Test,61290,34,<25,Some college,10,Female,No,0,North,5305
5667, ,No, ,61370,29,<25,Some high school or less,11,Female,No,0,North,5322
5668, ,No, ,10200,33,50-74,Some high school or less,15,Female,No,3,East,8458
5669, ,No, ,10960,36,<25,Post-graduate,9,Male,No,0,East,9732
5670, ,No, ,60910,57,50-74,High school,11,Male,No,0,North,7075
5671, ,No, ,94140,52,25-49,Some high school or less,5,Female,Yes,0,West,856
5672, ,No, ,75180,38,50-74,College,8,Male,No,0,South,3792
5673, ,No, ,97050,34,<25,Post-graduate,4,Male,No,0,West,4207
5674,No,No,Control,61330,40,25-49,Some high school or less,9,Male,Yes,2,North,6541
5675, ,No, ,61500,54,75+,Some college,13,Male,No,0,North,7214
5676, ,No, ,61990,61,75+,College,9,Male,Yes,3,North,6686
5677, ,No, ,09380,25,50-74,Some college,9,Female,No,2,East,8162
5678, ,No, ,74000,27,25-49,Post-graduate,5,Female,No,0,South,1696
5679, ,No, ,94700,49,50-74,College,8,Male,No,1,West,4407
5680,No,No,Control,61090,39,<25,High school,7,Male,No,0,North,7112
5681, ,No, ,09830,50,75+,Some college,5,Female,Yes,0,East,8319
5682, ,Yes, ,11900,27,75+,Post-graduate,10,Male,No,0,East,9888
5683, ,No, ,94950,49,75+,High school,10,Female,Yes,0,West,1049
5684, ,No, ,60470,56,25-49,Some college,11,Male,Yes,0,North,6329
5685, ,No, ,76130,41,50-74,Some college,8,Female,Yes,0,South,2749
5686, ,No, ,60770,53,75+,High school,11,Female,Yes,2,North,5824
5687, ,No, ,61790,22,50-74,High school,8,Female,No,3,North,5409
5688, ,No, ,75810,53,50-74,College,16,Female,No,2,South,2119
5689, ,No, ,08940,33,25-49,Post-graduate,11,Female,No,0,East,8008
5690, ,No, ,93060,72,25-49,Post-graduate,16,Male,Yes,3,West,83
5691, ,No, ,11980,55,75+,Some high school or less,9,Male,Yes,2,East,9902
5692,No,No,Control,61350,46,75+,Some high school or less,11,Male,Yes,2,North,6543
5693,No,No,Control,61770,55,75+,Post-graduate,12,Male,Yes,2,North,6636
5694, ,No, ,12020,42,25-49,Post-graduate,17,Male,No,0,East,9913
5695, ,No, ,92960,56,25-49,College,8,Female,Yes,2,West,585
5696, ,No, ,61450,41,<25,College,5,Male,No,0,North,7200
5697, ,No, ,74400,42,75+,Some college,4,Female,Yes,0,South,2323
