,course_code,course_name,course_description
797,FIN 220,Introduction to Finance,"An introduction to the environment, concepts, and techniques of financial management.  Topics include forms of business organization, taxes, analysis of financial performance, financial planning, financial markets and interest rates, time value of money, bond and stock valuation, risk and return, capital budgeting, cost of capital, and international financial management."
798,FIN 305,Personal Financial Planning,"This course  focuses on practical issues and problems involving personal financial budgeting, use of credit, selection of banking services, insurance needs, real estate, investments, tax planning, and  retirement  planning. An important objective of the course is to provide the student with the tools that are utilized in making personal financial decisions and how to apply those tools for a variety of financial needs."
799,FIN 307,Financial Markets & Institutions,"This course provides an introduction to the organization and behavior of financial markets and institutions in the economy. The factors determining security prices and interest rates in the money and capital markets are analyzed. An overview of all major financial institutions is presented. In addition, market returns, the regulatory environment, and monetary policy are examined."
800,FIN 308,International Finance,"Financial management in the international environment. Topics include balance of payments, foreign exchange markets, arbitrage, hedging of currency risk, country risk management, and the evaluation of foreign investment opportunities."
801,FIN 309,Intermediate Corporate Finance,"This course builds on and extends the concepts of financial management learned in FIN 220. The course examines long-term corporate financing and investment decisions and how those decisions interface with each other. Topics covered include: cost of capital, financial planning and analysis, capital budgeting, capital structure and dividend policy."
802,FIN 312,Investments,"The fundamentals of investing in stocks, bonds, and other negotiable instruments are covered. Major topics include trading on securities markets, mutual funds, international investing, margin accounts, short sales, determinants of securities prices, and investment risks. Stock options, financial futures, convertible securities, and implications of taxes on investment decisions are also discussed."
803,FIN 315,Financial Modeling,"Provides instruction in computer use beyond what is available in other finance courses. Topics include more sophisticated applications of computers in financial management, investments, and other areas of finance and business.  Students work on cases and projects which require more advanced usage of spreadsheets and other software and databases."
804,FIN 330,Corporate Cash Management,"This course is designed for business students seeking an understanding of modern principles and techniques for corporate treasury management. The course material is useful for finance, accounting, and banking professionals or small business owners. Topics include analysis of liquidity and solvency, credit and accounts receivable management, cash collection and disbursement systems, short-term investment and borrowing, management of treasury information and technology, multi- national cash management, and other related topics."
805,FIN 340,Risk Management,"This course examines the risk management process as applied to the firm as a whole. It integrates the management of all risks facing the firm: strategic, financial, hazard, and operational. Techniques for identifying risk, measuring and analyzing it, and selecting an appropriate treatment will be explored."
806,FIN 350,Entrepreneurial Finance,"This course covers the techniques for acquiring financial resources as a firm advances through successive business stages: seed, start-up, struggling, growing, and stable.  In addition, it examines recent trends in credit markets and the latest financial innovations as they impact the process of financing the venture’s growth."
807,FIN 360,Fixed Income and Derivatives,"This course centers on the quantitative portion of the Chartered Financial Analyst (CFA) level 1 curriculum, which includes materials on fixed-income risk and return, fundamentals of risk analysis, derivative instruments and risk management applications of option strategies. The goal is to help students prepare for the exam, as well as introduce them to a variety topocs in finance."
808,FIN 370,Financial Analysis and Ethics,"This course covers the topics of financial reporting and analysis and related ethical issues.  The course would benefit students interested in augmenting their ability to understand, analyze and apply the information in financial statements.  It provides essential knowledge for students seeking either the Certified Management Accountant (CMA) or Chartered Financial Analyst (CFA) certifications.  Specifically, the course covers the Ethics and Professional Standards of the CFA curriculum, and materials on financial reporting quality and financial statement analysis. Course goals are to help students prepare for the certification exams, as well as introduce all interested students to a variety of topics in financial analysis and ethics."
809,FIN 380,Real Estate,"Real estate finance and related subjects in real estate are examined. Topics include measuring cash flows and taxes, valuation methods for real estate investment decisions, location and value in real estate, home ownership, legal matters, and financing methods and techniques."
810,FIN 399,The Co-Operative Experience,"The co-op program provides students with an opportunity to work full-time in a company and apply what they have learned in their finance and other business classes.  It also enhances students’ employment opportunities since many employers use a co-op program as a first step before they hire full¬ time employees. Eligible students include finance majors with at least junior status, a minimum overall GPA of 3.0, and a minimum GPA of 3.0 in any finance coursework completed prior to the submission of the co-op application. Co-op credits can be applied toward business or free elective requirements but not toward finance elective requirements for majors. Grading is on a pass/fail basis."
811,FIN 405,Private Wealth Management,"This course utilizes the Chartered Financial Analyst (CFA) curriculum and focuses on private asset management for high-net-worth investors. A wide range of topics including managing individual investor portfolios, taxes, estate planning, concentrated single-asset positions and individual risk management will be covered via lecture discussions. The main objective for the course is to help students develop the skills for a career in wealth management."
812,FIN 412,Investment Analysis,"Real-world application of the concepts and techniques of investment analysis and portfolio theory introduced in FIN 312. Students interact with and make recommendations to professional portfolio managers. Topics include analysis and forecasts of business conditions, market interest rates, international opportunities, and corporate profits. Emphasis is placed on the valuation of securities, stock selection, investment timing, technical analysis, and management of portfolio risk with options, futures, and other tools."
813,FIN 469,Special Topics in Finance,"This course is occasionally offered, with the topics and prerequisites set by the finance program."
814,FIN 490,Independent Study: Research and Creative Expression,"Topic to be approved in advance by supervising instructor, chairperson, and academic dean.  Available for juniors and seniors. No more than 12 credits allowed toward graduation. This course can be used as a business or free elective, but with prior approval it can also be used as finance elective."
815,FIN 491,Finance Internship,The internship offers qualified junior and senior finance majors supervised employment with participating companies. The internship may be taken during the fall or spring semester or during the summer session. Students are evaluated periodically by senior staff members of the participating firms and are required to complete a term paper that will be reviewed by the major’s internship director.  Internship credits can be applied toward business or free elective requirements but not toward finance elective requirements for majors. Grading is on a pass/fail basis.
816,ART 103,Fundamentals of Drawing,"An intensive study of drawing techniques in charcoal, pencil, and pen and ink."
817,ART 104,Survey of Art History I,"The history of Western art, architecture, sculpture, painting from prehistoric times through the Middle Ages, emphasizing the relation between the arts and ideas of each period."
818,ART 105,Design,"Basic concepts of composition, form, texture, value, and color in two-dimensional design are explored."
819,ART 106,Survey of Art History II,"The history of Western art, architecture, sculpture, painting from the Renaissance to the present, emphasizing the relation between the arts and ideas of each period."
820,ART 120,Art and Society,"Masterpieces of architecture, painting, and sculpture are related to their historical periods, providing an appreciation for and understanding of the vital interaction of art and society."
821,ART 150,Digital Foundations,"Industry standard digital tools are used to explore the basic concepts of composition, form, texture, value, and color in two-dimensional design. Further consideration of digital formats and technologies in the visual arts will be highlighted."
822,ART 199,Arts in Contemporary Civilization,"An integral study of the arts and their place in contemporary American life. Includes attendance at several events in art, music, and drama. Spring."
823,ART 201,Art of the Ancient World,The arts of ancient man from prehistoric times to the fall of the Roman Empire.
824,ART 204,Fundamentals of Painting,Introduces students to the materials and techniques of oil or acrylic painting. Emphasis on experimentation and the development of individual expression in a variety of subject matters.
825,ART 207,Medieval and Renaissance Art,"A study of the major monuments of architecture, painting, and sculpture created in Western Europe between 300 and 1600. Particular emphasis on the history of Christian art, from its beginnings in the Roman catacombs, to the great monasteries and cathedrals of the High Middle Ages, to the revival of ancient Roman grandeur and forms in the Renaissance."
826,ART 209,Art of the Baroque,The art of the 17th century in southern and northern Europe.
827,ART 214,American Art,"The development of the arts from colonial America to World War I. Discusses major economic, social, and political factors that influenced the course of American art history."
828,ART 227,Gallery Management,Designed to provide students with the experience of working in all aspects of art gallery management. It is intended for students regardless of their major who wish to add the dimension of art to their college experience through direct hands-on curatorship of the Rider Art Gallery.
829,ART 230,Three-Dimensional Design,"Beginning problems in traditional sculptural materials (clay, wood, stone) and design-construction in mixed media."
830,ART 303,19th Century Art,"An in-depth study of the major art movements in 19th-century Europe, from Neoclassicism to Postimpressionism."
831,ART 304,Drawing II,"Studies the art of drawing beyond the introductory level with an emphasis on greater self-expression, advanced technical skills, and a variety of drawing media."
832,ART 305,Intermediate Painting A-B-C,"Studio courses designed to expand the student’s creative experience in painting with emphasis of greater self-expression. Students will be presented with specific painting projects that originate from conceptual or perceptual responses to reality (still life, landscape, figure) and to imagination (dreams, fantasy, invention). Class trips to galleries and museums are included. May be taken three times."
833,ART 306,Art of the 20th Century,"The major artists and movements in the history of 20th-century painting and sculpture from Postimpressionism. Slide lectures, class discussion, field trips."
834,ART 310,Figure Drawing and Painting,"Students will draw and paint from various sources, including the live model, clothed and nude, to understand the structures, gestures, and psychological aspects of the human body in art."
835,ART 335,Printmaking,A studio introduction to various traditional and contemporary relief printmaking techniques.
836,ART 352,Motion Graphics,"This course will provide an introduction to the use of industry standard tools and methods employed in motion and animation design. Concepts of composition, form, style, and continuity of motion will be key. Focus will be placed on 2D rendering with contemporary tools, as well as underlying theory and critique.
Consideration of cross-media techniques utilized in game design, streaming media, film and television will be highlighted."
837,ART 490,Independent Research and Study,"Students may pursue a special topic for which they have prepared through prior course work.  Only one project may be scheduled in a semester.  The project may involve 1 to 4 credit hours. Approval of the faculty sponsor, department chair, and dean required prior to enrollment."
838,ART 491,Internship in Art,"Provides junior or senior fine arts majors with concentrations in art with the practical experience of working with a museum or professional art gallery. Students must be sponsored by an art professor. For each academic credit, interns must work 48 hours for the semester or approximately 3.7 hours each week."
839,ART 492,Advanced Studio Workshop,Intensive course in various media for students working at an advanced level in studio disciplines. A high level of achievement is expected. May be taken more than once for credit.
840,ART 493,Special Topics in Studio Art,"Study in drawing and painting of a particular style, such as abstraction or subject, such as still life; or particular aspects on a museum collection, such as the Metropolitan."
841,ART 495,Selected Topics in Art History,"An intensive study of a particular art history topic, e.g., a single artist, artistic center, or artistic medium. Slide lectures, class discussion, field trips, class reports. Topics to be announced."
843,ART 499,Senior Honors Program,"A senior honors program may be submitted in partial fulfillment of requirements for graduation with honors in fine arts. Honors work is limited to those departmental majors with a GPA of 3.5 in fine arts courses and cognates. The program, planned under the direction of a faculty advisor, represents a culmination of demonstrated excellence in a specific area of fine arts. Candidates for honors in fine arts must be approved by the department chairperson and the faculty."
844,FLE 320,Introduction to Linguistics and Psycholinguistics,"This course provides an introduction to general linguistics and basic contrastive study of English, French, German, and Spanish sounds, forms, and syntax. Students visit schools where they interview language learners and sample their speech for analysis. Applications of these studies are made to creating instructional materials and to teaching. Theories of language acquisition as well as factors affecting second language learning, including learning styles and personality, are studied. A rationale for communicative language teaching and learning is constructed. Note: This course is cross-listed as EDU 320. Students may not get credit for both FLE 320 and EDU 320."
845,FLE 420,Teaching a Second Language,"This course focuses on interactive methods of teaching a new language as well as cross- cultural understanding. Students learn to plan using national and state standards for language instruction, organize activities, design and direct language learning tasks, and assess learning. Includes theoretical positions on communicative learning and teaching, the use and evaluation of currently used materials, the design of new materials, and field experiences in the language to be taught. Students develop their professional portfolios and philosophy of second language teaching, prepare a thematic unit of study, and present lesson segments. Open to prospective world language teachers, ESL and bilingual teachers, as well as practicing teachers seeking certification. Note: This course is cross-listed as EDU 420 and EDUC 521. Students may not get credit for FLE 420, EDU 420, and EDUC 521. A cumulative GPA of 2.75 is required."
846,LIT 250,Masterworks of Western Literature I,"Introduces the classical heritage and the development of a connected Western literary tradition as reflected in the classics of Western literature from the Greeks to the Renaissance. This course focuses particularly on the qualities, which make each work great. Works by Homer, Aeschylus, Sophocles, Euripedes, Virgil, St. Augustine, Dante, and Shakespeare are read and discussed in English. Required for all foreign language majors."
847,LIT 251,Masterworks of Western Literature II,"Introduces modern world literature and the further development of the Western literary tradition from the Enlightenment, through Romanticism, to the contemporary period. Major writers such as Moliere, Racine, Voltaire, Rousseau, Goethe, Tolstoy, Baudelaire, Yeats, Rilke, Ibsen, Mann, Kafka, and Borges are read and discussed in English. Required for all foreign language majors."
848,LIT 310,Russian Literature 988-1850,"A reading and discussion of some of the greatest Russian writers of the first half of the 19th century. Writers include Pushkin, Lermontov, Gogol, Turgenev, and Tolstoy. Classes are in English. No knowledge of Russian required. Required for majors."
849,LIT 311,Russian Literature 1850-1917,"A reading and discussion of some of the greatest Russian writers of the second half of the 19th century and early 20th century. Writers include Dostoevsky, Leskov, Chekhov, Bunin, Gorky, Blok, Bely, and Sologub. Classes are in English. No knowledge of Russian required. Required for majors."
850,LIT 312,20th Century Russian Literature,"A reading and discussion of some major Russian writers from 1917 to 1970. Writers include Akhmatova, Tsvetaeva, Babel, Bulgakov, Pasternak, Mayakovsky, and Evtushenko. Classes are in English. No knowledge of Russian required. Required for majors."
851,LIT 315,Tolstoy,"Reading and discussion of selected works of Tolstoy including his fables; novellas, such as Master and Man and The Kreutzer Sonata; and either Anna Karenina or War and Peace. Classes are in English. No knowledge of Russian is required."
852,LIT 317,Dostoevsky,"Reading and discussion of selected works of Dostoevsky, with special emphasis on Crime and Punishment and The Brothers Karamazov. Classes are in English. No knowledge of Russian required."
853,LIT 322,German Literature & Film in English Translation,"Reading and discussion in English of German literary masterpieces and their film adaptations. The material varies from year to year, e.g., German-Jewish writers, German Romanticism, German literature to 1700, modern fiction, or 20th-century women’s literature and film. No knowledge of German required."
854,LIT 325,The Folk Tale,"Introduction to the study of folk tales from a literary point of view, to the place of folk tales in European culture, and to the contrast between folk tales and written fairy tales such as Beauty and the Beast and Cupid and Psyche."
855,LIT 330,Russian Culture,"Readings highlighting both the uniqueness of Russian culture and the ways Russian culture has had the greatest impact on Western culture in general. The course is divided into topics such as folklore, religion, painting, music, ballet, and film. Readings from Russian literature will be used to illustrate significant aspects of Russian culture. Classes are in English. No knowledge of Russian is required."
856,LIT 340,Hispanic Literature & Film in English Translations,"This course explores literary and cinematic masterpieces in English translation. Attention is focused on their relationship to the intellectual, artistic, and historical background of Spain, Latin America, and/or United States Latino cultures. No knowledge of Spanish is required. Open to Spanish majors, but no credit given toward the specific requirements of the major."
857,LIT 370,European Short Novel,"Introduces students to the study of the novella as a distinct literary genre in Europe. Discusses various theories of the novella and the history of the novella in Europe. Will read and discuss such masterpieces of the novella as O, The Queen of Spades, A Simple Heart, and Death in Venice."
858,LIT 390,The Bible As Literature,"This course takes a literary approach to the Bible: only one, of course, of the many possible approaches to this rich and fascinating text. Nevertheless this approach to the Bible is justified both because the Bible is a literary masterpiece and because such an approach provides a clear focus for students. Students will read and discuss selections from the three major divisions of the Bible: the Old Testament, the New Testament, and the Apocrypha. Students will also read famous stories such as Joseph and his Brothers, Moses and Exodus, Samson and Delilah, Jonah and the Whale, Susanne and the Elders, The Raising of Lazarus, and The Trial and Execution of Jesus."
859,FRE 100,French I,"Conversational French is taught through basic vocabulary and grammar building. Students will enjoy an immersion-style method emphasizing real-life situations and vocabulary in authentic cultural context, through an interactive textbook, videos, on-line resources, and oral/aural skill building using the technology in the Foreign Language Media Center to enhance learning. This course counts towards the fulfillment of the Essential Competencies element of the CLAS general education curriculum."
860,FRE 101,French II,"Building on learning in French I, students will begin to converse using more complicated grammatical structures within immersion-style classroom interactions.  While the focus is still on conversation and aural skill building, composition skills receive greater emphasis. Students will enjoy an interactive textbook, Internet usage, and authentic videos shot on location in France. This course counts towards the fulfillment of the Essential Competencies element of the CLAS general education curriculum."
861,FRE 200,French III,"This course builds on linguistic skills previously acquired through an emphasis on conversation and oral comprehension, and through vocabulary building. Grammar study is continued at a more advanced level, and students begin to read short passages focusing mainly on francophone culture and civilization. Film clips, Internet resources, and other computer-aided learning tools are used to create a dynamic immersion-style learning experience. This course counts towards the fulfillment of the Essential Competencies element of the CLAS general education curriculum."
862,FRE 201,French IV,"While continuing the emphasis on aural/oral production and grammar and vocabulary building, short passages of greater complexity taken from literary texts, newspapers, and magazines will become the focus of conversation/composition activities. Technological resources will continue to enhance the immersion-style learning experience consistent with a course in advanced French. Successful completion of this course, or its equivalent, serves as a prerequisite for French courses at the 300 and 400 level. This course counts towards the fulfillment of the Essential Competencies element of the CLAS general education curriculum."
863,FRE 300,French Composition/Translation,"An in-depth study of style, shades of meaning, and correctness of expression. Translation of business/professional/scientific/political texts will receive emphasis, and students will continue to perfect their writing skills, and review and improve advanced grammatical structures."
864,FRE 301,French for Business,"The fundamentals needed to survive in the French professional and business world are taught. Students will continue to perfect oral/written/aural skills while learning about the cultural climate within which these skills will be used. Students will learn how to prepare effective business/professional correspondence and, through role-playing activities, will use their knowledge in such real-life situations as interviewing, telephone conversations, and business meetings."
865,FRE 305,An Introduction to French Literature,"A chronological overview of the evolution of French literature from the Middle Ages to the present. Study and interpretation of selected works, authors or literary movements through the Renaissance, the classical period, Enlightenment, romanticism, realism, naturalism to representative works by authors of our century from Proust to existentialism, the nouveau Roman, theatre absurde and beyond."
866,FRE 311,French Culture,"A study of modern France and French value orientations as they are rooted in tradition and history and continue to shape everyday life as well as institutions, social organizations, artistic expression, education, attitudes and human interaction. A comparative approach will examine the underlying differences between France and the United States. Classes are in English."
867,FRE 320,French Phonetics and Conversation,"This course is an introduction to French phonetics and is designed to help students further develop their skills in speaking French accurately and fluently. The course requires students to learn basic linguistic symbols and the phonetic alphabet as a theoretical step toward improving articulation and pronunciation. Moreover, special emphasis will be placed on the development of vocabulary and of appropriate communication techniques to participate in discussions in French. The course will be a mix of lectures, class discussions, debates, face-to-face conversations, and role games requiring a strong active participation. Counts toward major and minor requirements."
868,FRE 422,Cultural Expression in French Film and Television,"A systematic analysis of selected French films and television broadcasts will reveal cultural value orientations as they relate to love, family, community, leisure, work, social, and political organization. A comparative approach will stress the underlying cultural differences between France and the United States. Course taught in French."
869,FRE 425,Portrait of the Hero in French Fiction,"This course deals with modern French fiction and its depiction of the role of the hero as a figure who gradually loses control over his fate (Stendhal, Balzac) and is changed into someone who struggles against ever increasing odds, only to be finally vanquished (Flaubert). The main character may find fulfillment in recollections of the past (Proust), explore the moral parameters of existence (Gide, Camus) or become the incapacitated anti-hero of Beckett’s novels. Course taught in French"
870,FRE 430,Mask & Reality in French Theater,"A study of theater through the optic of a unifying theme: the mask and reality. The goal is to gain a greater appreciation of the art of dramatic illusion whereby actors, while wearing the masks of the characters they play, allow us to examine ourselves and reality in true, unmasked form. Playwrights to be studied will range from the classical theater of Racine and Corneille, through the modern avant-garde, existentialist and Theater of the Absurd works of such playwrights as Ionesco and Beckett. Course taught in French."
871,FRE 435,Self in French Prose & Poetry,"Are we determining or pre-determined creatures? What is our essential nature? Is the quest for salvation justified? A study of the historical, political, and social realities in which the texts were composed will shed light on the concept of the self. Representative authors from the Renaissance to modern times will include: Montaigne, Descartes, Pascal, Montesquieu, Rousseau, Hugo, Baudelaire, Apollinaire, Sartre, Camus, Duras, Sarraute, Colette, de Beauvoir. Course taught in French."
872,FRE 440,A Quest for Identity: Francophone Literature and Culture,"This course introduces the cultures of countries or regions where French is used either as the (or one of the) official language(s) or, in a less official capacity, by a segment of the population. In readings, discussions, songs, film viewings, and written assignments, students will experience the Francophone cultures of specific areas and the amazing diversity of the Francophone world. They will also explore the difficult relation of the Francophone countries with France. The course considers issues of social status, history, resistance, and identity. Counts toward major and minor requirements. Course taught in French."
873,FRE 490,Independent Study: Research and Creative Expression,"Independent Research and Study allows juniors and seniors in good academic standing to investigate topics of interest under faculty supervision.  Projects must be approved by the faculty member, department chairperson, and academic dean no later than the third week of the semester in which the project is to be conducted.  Only one project can be scheduled in a semester, and for no more than four semester hours; up to 12 semester hours of independent research and study may be counted toward graduation.  Note that individual departments may have additional restrictions."
874,FRE 491,Internship in Foreign Languages,"A supervised work experience in an approved organization to gain knowledge of the importance and interrelationship of foreign languages and cultures in the workplace. Placements can be made in international governmental agencies, international trade associations, multinational corporations, social service agencies, and other appropriate workplace environments both in the United States and abroad. With permission of the supervisor and faculty advisor, a three-credit internship may be substituted for a collateral requirement as credit toward the major."
875,FRE 496,Special Studies,"Offered as needed to complement the program in French. A seminar open to a variety of topics treating a particular author, period, genre or critical approach."
876,GAM 100,Game & Interactive Media Forum,Game & Interactive Media Forum is a once-per-month gathering of all Game majors from across the university’s different Colleges. The forum will be an opportunity for students focusing on different backgrounds to engage together in industry-related topics and skills.
877,GAM 150,Intro to Game Studies,Intro to Game Studies surveys the history of video games and gaming culture against the social and political contexts that shape and are shaped by games.
878,GAM 200,Game Design,"Game Design introduces students to the basic concepts of game design, covering game rules, iterations, and playtesting. Students will work with hands-on material to develop design techniques and instincts outside of digital work spaces."
879,GAM 201,Game Development I,Game Development I introduces students to industry-standard software and the basics of user experience and collaborative game design.
880,GAM 301,Game Development II,"Game Development II extends students’ knowledge of industry-standard software, building on GAM 201 and progressing toward advanced concepts of user experience and collaborative game design."
881,GAM 310,Special Topics in Game Design,Special Topics in Game Design applies students’ knowledge of game design and the development software that helps them realize their design toward specific prototyping goals. The subject of GAM 310 will rotate each semester; GAM majors must complete two semesters of 310 without duplicating topics.
882,GAM 330,Soundtracks and Foley,"Soundtracks and Foley covers dialog, music, and foley in filmic settings, with a specific focus on game environments."
883,GAM 401,Game Workshop I,Game Workshop I places students in multidisciplinary project teams. Each team will create a game prototype over the course of the semester that demonstrates each student’s mastery of their area of specialization and the team’s ability to work together.
884,GAM 402,Game Workshop II,Game Workshop II places students in multidisciplinary project teams and builds on skills developed in Game Workshop I.
885,GAM 491,Internship in Game Design,"Internship in Game Design places students in industry work environments, overseen by a site supervisor."
886,GSS 100,Introduction to Gender Studies,"An introduction to the role of gender in human experience, examining the biological, historical, literary, artistic, and institutional manifestations of gender, and exploring the intersections of gender, sex, and sexuality."
887,GSS 110,"Race, Class and Gender in Contemporary American Society","This interdisciplinary course analyzes the ways in which race, class, gender and ethnic relationships shape the experience of all persons in this society. It examines the categories of race, class and gender as social constructs that have been historically developed and sustained by economic, social, political, and cultural factors. Note: This course is cross-listed with MCS 110. Students may only get credit for one course: MCS 110 or GSS 110."
888,GSS 200,Introduction to Women's Studies,"An interdisciplinary investigation of traditional and contemporary gender roles, and of women’s status, identity, and potential. Required for minor."
889,GSS 230,Women In Literature,A range of literary presentations of the female experience and of the conditions of women’s lives is explored. These works are placed in historical and social contexts in order to see behind and beyond traditional literary conventions. Cross-listed with ENG 230.
890,GSS 235,Current Feminist Issues,"This course examines historical and contemporary debates about controversial issues involving women, gender, and equality. The course will highlight feminist concerns with race, class, sexuality, and gender norms, focusing broadly on society, culture, the economy, politics, and law. Students will learn to contextualize, analyze, and evaluate arguments on multiple sides of these controversies."
891,GSS 240,Sex and Human Nature,"This course provides an introduction to the scientific study of human sexual behavior, mate choice, and reproduction. Questions of interest include: How is sex determined? How are males, females, and intersex individuals different biologically? How do individuals' sexual strategies tend to differ? Why do we experience sexual jealousy? Are humans actually evolved to form long-term pair-bonds? What determines sexual orientation? Answers to these questions will be considered in light of the reproductive science of humans and our evolutionary ancestors."
892,GSS 245,Popular Constructions of Gender and Sexuality,"This course takes an interdisciplinary approach to investigate the constructs that society creates and maintains with relation to sexuality and gender. As we are increasingly confronted with images of gender and sexuality, it becomes vital to interrogate the origins of these images from a variety of disciplinary perspectives in order to analyze and critique these constructs. Students will be introduced to theoretical approaches to analyzing popular constructs of gender and sexuality from a variety of areas, including (but not limited to) the humanities, the physical sciences, and the social sciences."
893,GSS 300,Feminist Literary Criticism,"This seminar explores the diversity within feminist literary analysis. Various national, ethnic and cultural standpoints are represented and the different as well as the common assumptions within feminist thought will be discussed."
894,GSS 309,Women in American History,"Examines the roles, status, and influence of women from the colonial era to the present. Studies the origins and development of feminism, including legal, political, educational, economic, and sexual rights; and studies social feminism, including reform movements in such fields as abolition, prohibition, pacifism, child labor, and social welfare."
895,GSS 310,Special Topics,Studies in specialized areas of feminist scholarship. Topics change according to instructor and are listed in the course roster.
896,GSS 312,"Gender, War and Peace","Through readings in literature, history, political science, philosophy, and psychology, the course will explore critically the myths linking feminine gender with pacifism and masculine gender with aggression. Various perspectives on peace and war, the history of peace movements, and women’s as well as men’s participation in war will be considered."
897,GSS 313,Gender and Ethics,"An interdisciplinary seminar involving a concentrated study of recent works in feminist theory, with special attention to issues such as: Do men and women have different ethical perspectives and different styles of moral reasoning? How do the “ethics of care” differ from the traditional “ethics of justice?” Can the models of justice and care be integrated into a more comprehensive theory?."
898,GSS 318,Gender and Communication,"Focuses on interactive relationships between gender and communication in contemporary American society. It connects theory and research with practice to explore multiple ways communication in families, schools, media, and society in general creates and perpetuates gender roles. It is designed to heighten students’ awareness of how we enact socially created gender differences in public and private settings and how this affects success, satisfaction, and self-esteem. 
Note: This course is crosslisted as GSS 318. Students may not get credit for both COM 318 and GSS 318."
899,GSS 319,Gender and Sexuality in American History,"What makes a man, exactly, and what makes a woman? What kinds of sex are normal, and what kinds are abnormal? Who decides, and why? The answers to these questions are not fixed. Throughout American history, popular understandings of gender and sexual norms evolved in close relationship with the political, economic, racial, and social dictates of the time. This course will trace the evolution of ideas on sec and gender from the 18th century to the present using various historical sources including fiction and film, particular attention will be given to analyzing dominant models of proper behavior and the complex relationships of power enmeshed within them."
900,GSS 320,"Sex, Gender, and Fairy Tales","From the early literary fairy tale by Italian authors, to 17th-century French women writers who named and popularized the genre, to the 18th- and 19th-century stories geared toward children, to Disney and beyond, students will analyze fairy tales to see what they tell us about gender and sexuality historically and today. Students will read classic fairy tales from around the world and look at feminist and queer retellings, examining how fairy tale themes and motifs permeate our culture."
901,GSS 322,Witch Hunts: Femicide Through Centuries,"We will look at the perceived definitions of “witch” and “witchcraft” in relation to establishing medieval to modern gender codes.  Our detailed study of perceptions of witches and their practices will reveal the power dynamics, social constructions and definitions that aided in the demise of countless women labeled as “witches” throughout history. Considerable time will be spent in exploring the internal controversy within the field of witchcraft studies regarding the use of words such as “genocide,” “femicide,” and “gendercide.”."
902,GSS 333,Gender and Sport,"Typical thoughts of sport include ticket prices, player salaries, team rosters, and league standings; rarely is it viewed from a gender perspective. This course will go beyond the examination of Title IX to better understand the relationship between masculinity, femininity and sports. This course will examine various aspects of gender and sport, including media and gender representation, race and ethnicity, drugs and violence, men and masculinities, sexualities, policy and politics, the feminist critique of sport, the initiation rites and hazing in college sports, sports wagering, and the internationalization of sport, including but not limited to the Olympics and Paralympics."
903,GSS 350,Leadership and Community,"Designed for all students whose future plans include community service, organizing, and leadership, this course will study organizing in response to domestic violence, discrimination on the basis of gender and sexuality, sexual harassment, and other issues that are significant for women and/or the LGBTQ community. Building coalitions, skills for leadership, and strategies for effective organization will be covered in readings and in class discussions and students will practice what they have learned by volunteering in a local nonprofit organization."
904,GSS 375,Transgender Narratives,"An introduction for Gender and Sexuality Studies minors and other interested students to the interdisciplinary field of transgender studies. Students will learn to distinguish between transsexual, transgender, transvestite, and intersex identities; to explore cross-cultural gender diversity; to recognize diverse subcultural expressions of gender, such as cross-dressing, camp, and drag; to identify long-standing stereotypes about trans people; and to understand trans people’s narratives about hormonal or surgical gender transition through literary and multimedia genres."
905,GSS 400,Seminar in Transcultural Gender and Sexuality,This seminar offers an opportunity for upper-level students to engage in a multidisciplinary study of the constructions of gender and sexuality in a variety of cultural contexts across the globe. Topics change according to instructor. Required for minor.
906,GSS 490,Independent Study: Research and Creative Expression,"Independent Research and Study allows juniors and seniors in good academic standing to investigate topics of interest under faculty supervision. Projects must be approved by the faculty member, department chairperson, and academic dean no later than the third week of the semester in which the project is to be conducted. Only one project can be scheduled in a semester, and for no more than four semester hours; up to 12 semester hours of independent research and study may be counted toward graduation. Note that individual departments may have additional restrictions."
908,GEO 100,Earth Systems Science,"Investigates the major global processes that occur on Earth. These processes can be grouped into four major systems: atmosphere, hydrosphere, lithosphere, and cosmosphere. Each system interacts with and affects the other systems creating, in a sense, a single Earth process. With this approach, the student will view the Earth as a whole, and understand that the many seemingly separate components that make up this planet are, in fact, a set of interacting processes, that operate in cycles through time, within a single global system. Three hours of lecture per week. This course counts towards the fulfillment of the Disciplinary Perspectives element of the CLAS general education curriculum."
909,GEO 102,Earth Materials and Processes Lab,"This lab course introduces students to the origin, identification, and significance of geologic materials, processes, and landforms. Hands-on experiences with mineral and rock specimens, topographic and geologic maps, and GPS and other data collection techniques are emphasized, along with field trip and in-lab observations, measurements, and interpretations.  One three-hour lab per week."
910,GEO 102SP,Earth Materials and Processes Lab,"This lab course introduces students to the origin, identification, and significance of geologic materials, processes, and landforms. Hands-on experiences with mineral and rock specimens, topographic and geologic maps, and GPS and other data collection techniques are emphasized, along with field trip and in-lab observations, measurements, and interpretations. One three-hour lab per week. This course counts towards the fulfillment of the Disciplinary Perspectives element of the CLAS general education curriculum."
